Brand,Model,Reference number,Movement,Case material,Bracelet material,Year of production,Scope of delivery,Gender,Location,Price,Availability,Caliber/movement,Base caliber,Power reserve,Number of jewels,Case diameter,Water resistance,Bezel material,Crystal,Dial,Dial numerals,Bracelet color,Clasp,Clasp material,url
Rolex,Explorer,114270 (Arabic Dial),Automatic,Steel,Steel,2004 (Approximation),"Original box, no original papers",Men's watch/Unisex,"United States of America, New York, New York","$6,395",Item is in stock,3130,3130,42 h,31,36 mm,10 ATM,Steel,Sapphire crystal,Black,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-explorer--id45074715.htm
Rolex,Day-Date 40,228235,Automatic,Rose gold,Rose gold,Unknown,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$52,450 [Negotiable]",Item is in stock,3255,"3255, Manufacture Rolex",70 h,31,40 mm,10 ATM,Rose gold,Sapphire crystal,Green,,Gold,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-day-date-40mm-rose-gold-olive-green-roman-dial-presidential-bracelet--id7799329.htm
Rolex,Datejust 41,126334 (Datejust Diamonds),Automatic,White gold,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Holt","$15,680",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Grey,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-datejust-41--id41032839.htm
Rolex,Rolex GMT Master II - Bruce Wayne on Oyster,126710GRNR (Bruce Wayne),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$21,500",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master-ii--id41867572.htm
Rolex,Datejust 41,126334 (Jubilee),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, ROMEOVILLE","$15,699",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-datejust-41--id45052473.htm
Rolex,Datejust 41,126334,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$15,185",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Blue,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-2025-datejust-41mm-126334-oyster-azzurro-blue-dial--id44403100.htm
Rolex,Submariner (No Date),124060,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, Springfield","$14,800",Item is in stock,3230,3130,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-no-date-stainless-steel-2024--id37504864.htm
Rolex,Day-Date 40,228238 (Day-Date Roman numerals),Automatic,Yellow gold,Yellow gold,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$52,000",Item needs to be procured,3255,,70 h,31,40 mm,10 ATM,Yellow gold,Sapphire crystal,Silver,Roman numerals,Gold,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/rolex-day-date-40-yellow-gold-silver-roman-dial-fluted-bezel-228238--id13412001.htm
Rolex,GMT-Master II,126710BLNR (Batman),Automatic,Steel,Steel,2023 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$18,250 [Negotiable]",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-2025-gmt-master-ii-batman-oyster-126710blnr--id44438947.htm
Rolex,Explorer,214270 (Arabic Dial),Automatic,Steel,Steel,2015 (Approximation),"Original box, no original papers",Men's watch/Unisex,"United States of America, New York, New York","$7,449",Item is in stock,3132,3132,48 h,31,39 mm,10 ATM,Steel,Sapphire crystal,Black,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-explorer--id45141934.htm
Rolex,Explorer,214270 (Arabic Dial),Automatic,Steel,Steel,2019,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$8,499",Item is in stock,3132,3132,48 h,31,39 mm,10 ATM,Steel,Sapphire crystal,Black,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-explorer--id45055610.htm
Rolex,Submariner (No Date),124060,Automatic,Steel,Steel,2026,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Holt","$14,554",Item is in stock,3230,3130,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner--id44925385.htm
Rolex,Rolex Submariner Date,126610LN (Submariner Ceramic Bezel Dark),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$15,500",Item is in stock,3235,3235,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/submariner-date--id41867957.htm
Rolex,Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$19,925 [Negotiable]",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,Rose gold,Sapphire crystal,Silver,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-new-datejust-41mm-126331-two-tone-rose-gold-jubilee-bracelet-sundust-index-dial--id12624501.htm
Rolex,GMT-Master II,126710BLNR (Batman),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$19,420",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-2025-gmt-master-ii-batman-40mm-126710blnr-oyster--id43606108.htm
Rolex,Datejust 41,126334 (Wimbledon),Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, Springfield","$17,500",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Grey,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-datejust-wimbledon-41mm-2024--id42346565.htm
Rolex,Daytona,116500LN (Daytona (from 2016)),Automatic,Steel,Steel,2017 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, Connecticut, Milford","$31,997",Item is in stock,4130,Cal.4130,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-daytona--id44754686.htm
Rolex,GMT-Master II,126710BLNR,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$20,500 [Negotiable]",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii-jubilee-126710blnr-batgirl-batman--id31344464.htm
Rolex,Submariner Date,126610LN (Submariner Ceramic Bezel Dark),Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, NEW YORK","$15,500",Item is in stock,3235,3235,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/submariner-date--id41000605.htm
Rolex,Datejust 41,126334 (Jubilee),Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$16,425 [Negotiable]",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,White,Roman numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-datejust-41mm-126334-fluted-bezel-white-roman-dial-jubilee-stainless-steel--id12589707.htm
Rolex,Daytona,126500ln (Panda),Automatic,Steel,Steel,2024 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, Kansas, Overland Park","$38,997",Item needs to be procured,4131,4131,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,White,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-daytona--id43810689.htm
Rolex,Rolex GMT Master II - Sprite on Jubilee,126720VTNR,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$19,250",Item is in stock,3285,3285,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master-ii--id42208238.htm
Rolex,GMT-Master II,126710BLNR (Batman),Automatic,Steel,Steel,2022,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$17,995",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-unpolished-2022-gmt-master-ii-batman-126710blnr--id45041903.htm
Rolex,Daytona,16528 (Daytona (1988-2015)),Automatic,Yellow gold,Yellow gold,1997,"Original box, no original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$36,830",Item is in stock,4030,Zenith El Primero,72 h,31,40 mm,10 ATM,Yellow gold,Sapphire crystal,Gold,No numerals,Gold,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/rolex-1997-daytona-40mm-16528-yellow-gold-champagne-dial--id44798872.htm
Rolex,Submariner Date,16613,Automatic,Gold/Steel,Gold/Steel,1999,"Original box, no original papers",Men's watch/Unisex,"United States of America, Illinois, Springfield","$11,800",Item is in stock,3135,cal. 3135,48 h,31,40 mm,30 ATM,Yellow gold,Sapphire crystal,Blue,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-submariner-date-blue-dial-16613--id42913322.htm
Rolex,Daytona,126508,Automatic,Yellow gold,Yellow gold,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Maryland","$58,000 [Negotiable]",Item is in stock,,,,,40 mm,,Yellow gold,,Black,,Gold,,Yellow gold,https://www.chrono24.com/rolex/cosmograph-daytona--id41380117.htm
Rolex,Datejust 36,16013,Automatic,Gold/Steel,Gold/Steel,1978 (Approximation),"No original box, no original papers",Men's watch/Unisex,"United States of America, New York","$4,999 [Negotiable]",Item is in stock,3035,3035,42 h,27,36 mm,10 ATM,Yellow gold,Plexiglass,White,No numerals,Gold/Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/datejust-36-two-tone-gold-steel-white-dial-automatic-16013--id43312697.htm
Rolex,GMT-Master II,116710LN (GMT-Master II black bezel),Automatic,Steel,Steel,2010,"Original box, original papers",Men's watch/Unisex,"United States of America, Miami","$13,950",Item is in stock,3186,Rolex 3186,48 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master-ii--id45075343.htm
Rolex,Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2021,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$20,599",Item is in stock,4130,cal. 4130,72 h,44,40 mm,10 ATM,Yellow gold,Sapphire crystal,Black,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-daytona--id44913400.htm
Rolex,GMT-Master II,126710GRNR (Bruce Wayne),Automatic,Steel,Steel,2026,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Los Angeles","$20,990 [Negotiable]",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master-ii-2025-bruce-wayne-oyster-bracelet-newunworn--id34972956.htm
Rolex,OP41 - Blue Dial (Discontinued),124300,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$10,700",Item is in stock,3230,Rolex 3135,70 h,31,41 mm,10 ATM,Steel,Sapphire crystal,Blue,No numerals,Steel,Double-fold clasp,Steel,https://www.chrono24.com/rolex/oyster-perpetual-41--id41866052.htm
Rolex,Datejust 36,126283RBR,Automatic,Gold/Steel,Gold/Steel,2026,"Original box, original papers",Men's watch/Unisex,"United States of America, California, Newport Beach","$30,995",Item is in stock,3235,Rolex 3135,70 h,31,36 x 44 mm,10 ATM,Yellow gold,Sapphire crystal,Black,Roman numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-datejust-36-new-2026-black-diamond-dial-two-tone-yellow-gold-diamond-bezel-jubilee-braclet--id45207985.htm
Rolex,GMT-Master II,126720VTNR (Sprite),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$17,305",Item is in stock,3285,Rolex 3186,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/new-2025-rolex-gmt-master-ii-sprite-40mm-126720vtnr-oyster-bracelet--id35666987.htm
Rolex,GMT-Master II,126720VTNR (Sprite),Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, Illinois, Springfield","$17,500",Item is in stock,3285,,70 h,31,40 mm,10 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii-stainless-steel-sprite-2024-full-set--id42346488.htm
Rolex,Submariner Date,116610LV,Automatic,Steel,Steel,2017,"Original box, original papers",Men's watch/Unisex,"United States of America, Florida, Miami","$21,300 [Negotiable]",Item is in stock,3135,cal. 3135,48 h,31,40 mm,30 ATM,Ceramic,Sapphire crystal,Green,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-date-40-hulk-green-dial-116610lv-oyster--id45141927.htm
Rolex,Land-Dweller,127334 (Arabic Dial),Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Massachusetts, Boston","$33,000",Item is in stock,7135,,66 h,,40 mm,10 ATM,White gold,Sapphire crystal,White,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-land-dweller-40-white-dial-stainless-steel-40mm-127334----id45157687.htm
Rolex,GMT-Master II,16710 (GMT-Master II (up to 2007)),Automatic,Steel,Steel,2002 (Approximation),"Original box, no original papers",Men's watch/Unisex,"United States of America, New York, New York","$11,295",Item is in stock,3185,Rolex 3185,48 h,31,40 mm,10 ATM,Steel,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-gmt-master-ii--id44303936.htm
Rolex,Oyster Perpetual 41,124300,Automatic,Steel,Steel,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$11,425 [Negotiable]",Item is in stock,3230,,70 h,31,41 mm,10 ATM,Steel,Sapphire crystal,Green,No numerals,Steel,Double-fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-oyster-perpetual-41mm-124300-green-dial-stainless-steel-41mm-oyster-bracelet--id16744721.htm
Rolex,Datejust 41,126334,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$18,000",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,White gold,Sapphire crystal,Grey,Roman numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-datejust41-18k-white-gold--steel-grey-slate-wimbledon-green-roman-dial-jubilee-126334--id12594603.htm
Rolex,Datejust 36,126234,Automatic,Steel,Steel,2024,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$13,425",Item is in stock,3235,"3135, Manufacture Rolex",70 h,31,36 mm,10 ATM,White gold,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-datejust-36mm-126234-stainless-steel-fluted-bezel-black-index-dial-oyster-band--id20547688.htm
Rolex,Daytona,116518LN (Daytona (from 2016)),Automatic,Yellow gold,Rubber,2021,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$48,500 [Negotiable]",Item needs to be procured,4130,,72 h,44,40 mm,10 ATM,Ceramic,Sapphire crystal,Champagne,No numerals,Black,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/rolex-rolex-daytona-40mm-yellow-gold-black-paul-newman-index-dial-oysterflex-116518ln--id11796490.htm
Rolex,Sky-Dweller,336238,Automatic,Yellow gold,Rubber,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$54,020",Item is in stock,9002,,72 h,40,42 mm,10 ATM,Yellow gold,Sapphire crystal,Green,No numerals,Black,Fold clasp,Yellow gold,https://www.chrono24.com/rolex/rolex-2025-sky-dweller-42mm-336238-yellow-gold-oysterflex-green-dial--id45276042.htm
Rolex,Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$21,825",Item is in stock,3235,Rolex 3135,70 h,31,41 mm,10 ATM,Rose gold,Sapphire crystal,Brown,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/new-datejust-41mm-126331-two-tone-rose-gold-jubilee-bracelet-chocolate-index-dial--id12624257.htm
Rolex,Rolex GMT Master Pepsi,1675 (Pepsi),Automatic,Steel,Steel,1969,"No original box, no original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$16,500",Item is in stock,1570,1570,48 h,26,40 mm,10 ATM,Steel,Plexiglass,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/gmt-master--id43780818.htm
Rolex,Datejust 36,16013,Automatic,Gold/Steel,Gold/Steel,1985,"Original box, original papers",Men's watch/Unisex,"United States of America, Michigan, Oak Park, MI","$7,190",Item is in stock,3035,Cal. 3035,42 h,27,36 mm,10 ATM,Yellow gold,Plexiglass,Blue,No numerals,Gold/Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-1985-datejust-36mm-16013-two-tone-jubilee-blue-roman-numeral-dial--id44154901.htm
Rolex,Air King,116900bk (Arabic Dial),Automatic,Steel,Steel,2019 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$9,525 [Negotiable]",Item is in stock,3131,,48 h,31,40 mm,10 ATM,Steel,Sapphire crystal,Black,Arabic numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-new-airking-black-116900-arabic-dial-40mm-stainless-steel--id12564077.htm
Rolex,Submariner Date,126610LN (Submariner Ceramic Bezel Dark),Automatic,Steel,Steel,2025 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, Connecticut, Milford","$15,997",Item is in stock,3235,cal. 3135,70 h,31,41 x 40 mm,30 ATM,Ceramic,Sapphire crystal,Black,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/rolex-submariner-date--id43564306.htm
Rolex,Sky-Dweller,326235 (Everose),Automatic,Rose gold,Rubber,2021 (Approximation),"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$43,000",Item is in stock,9001 Manufacture Rolex,,72 h,,42 mm,10 ATM,Rose gold,Sapphire crystal,Black,No numerals,Black,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-sky-dweller-rose-gold-42mm-rhodium-dial-oysterflex-326235--id17547755.htm
Rolex,Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, NEW YORK","$16,845",Item is in stock,3235,,70 h,31,41 mm,10 ATM,Rose gold,Sapphire crystal,Grey,No numerals,Gold/Steel,Fold clasp,Gold/Steel,https://www.chrono24.com/rolex/rolex-datejust-ii-41mm-fluted-bezel-steeleverose-gold-slate-wimbledon-roman-dial-oyster--id12185971.htm
Rolex,Rolex Submariner Starbucks - MK2,126610lv,Automatic,Steel,Steel,2025,"Original box, original papers",Men's watch/Unisex,"United States of America, North Carolina, Charlotte","$16,000",Item is in stock,3235,3235,70 h,31,41 mm,30 ATM,Ceramic,Sapphire crystal,Green,No numerals,Steel,Fold clasp,Steel,https://www.chrono24.com/rolex/submariner-date--id42738076.htm
Rolex,Yacht-Master 37,268655,Automatic,Rose gold,Rubber,2023,"Original box, original papers",Men's watch/Unisex,"United States of America, New York, New York","$35,000",Item needs to be procured,2236,,48 h,,,100 ATM,Ceramic,,Black,No numerals,Black,Fold clasp,Rose Gold,https://www.chrono24.com/rolex/rolex-yacht-master-37mm-rose-gold---black-dial---oysterflex-strap-268655--id20046787.htm
